('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'InMobi', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'AppNext', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'AdColony', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'Millennial Media', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'Chartboost', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'Unity Ads', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.skinstoredeveloper.tntanddynamiteaddon_7.4.log', 'com.skinstoredeveloper.tntanddynamiteaddon', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.skinstoredeveloper.tntanddynamiteaddon_7.4.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'AppLovin', 'Ironsource', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'Firebase', 'Unity Ads', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'AdMob', 'Ironsource', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'AdMob', 'Unity Ads', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'Ironsource', 'Unity Ads', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.mine.crazy.auto.dragon.maxi_3.7.log', 'com.mine.crazy.auto.dragon.maxi', 'SDKConnectionRough', 'Bytedance', 'Ironsource', '/N/project/android_lib_proj/privacy_impl/apks/com.mine.crazy.auto.dragon.maxi_3.7.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'Facebook Audience Network', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'AppLovin', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'AdMob', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'AdMob', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'Ironsource', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'Criteo', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'Facebook', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'AdColony', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'AdColony', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.wClassicBowling_10763879_1.0.11.log', 'com.wClassicBowling_10763879', 'SDKConnectionRough', 'BidMachine', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wClassicBowling_10763879_1.0.11.apk')
('com.skinstoredeveloper.megaportalmod_7.3.log', 'com.skinstoredeveloper.megaportalmod', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.skinstoredeveloper.megaportalmod_7.3.apk')
('com.wColivraison_13327714_1.0.8.log', 'com.wColivraison_13327714', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wColivraison_13327714_1.0.8.apk')
